Receipt No,Student Name,Admission No,Class,Parent Phone,Paid Months,Tuition Fee,Transport Fee,Total Amount,Payment Mode,Payment Ref,Status,Date
"LHS-FEE-2026-5973","Phuritsabam Yaiphabi","LHS-2026-005","Nursery","+91 98621 11221","May 2026",1200,0,1200,"UPI_ONLINE","426474441113","PAID","2026-08-25T18:22:29.768Z"
"LHS-FEE-2026-5642","Phuritsabam Yaiphabi","LHS-2026-005","Nursery","+91 98621 11221","April 2026",1200,0,1200,"UPI_ONLINE","428683753633","PAID","2026-08-25T18:22:29.657Z"
"LHS-FEE-2026-2050","Chungkham Chingkhei","LHS-2026-004","Upper KG","+91 98621 11220","June 2026",1200,0,1200,"UPI_ONLINE","421407506496","PAID","2026-08-25T18:22:28.776Z"
"LHS-FEE-2026-1005","Chungkham Chingkhei","LHS-2026-004","Upper KG","+91 98621 11220","May 2026",1200,0,1200,"UPI_ONLINE","429767772198","PAID","2026-08-25T18:22:28.668Z"
"LHS-FEE-2026-7358","Chungkham Chingkhei","LHS-2026-004","Upper KG","+91 98621 11220","April 2026",1200,0,1200,"UPI_ONLINE","429941132767","PAID","2026-08-25T18:22:28.553Z"
"LHS-FEE-2026-6899","Kshetrimayum Amarjit","LHS-2026-003","Upper KG","+91 98621 11219","June 2026",1200,0,1200,"UPI_ONLINE","423492356633","PAID","2026-08-25T18:22:27.667Z"
"LHS-FEE-2026-2548","Kshetrimayum Amarjit","LHS-2026-003","Upper KG","+91 98621 11219","May 2026",1200,0,1200,"UPI_ONLINE","428958553053","PAID","2026-08-25T18:22:27.559Z"
"LHS-FEE-2026-3817","Kshetrimayum Amarjit","LHS-2026-003","Upper KG","+91 98621 11219","April 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-6591","PAID","2026-08-25T18:22:27.314Z"
"LHS-FEE-2026-9442","Irom Radharani","LHS-2026-002","Lower KG","+91 98621 11218","July 2026",1200,0,1200,"UPI_ONLINE","421387382139","PAID","2026-08-25T18:22:26.524Z"
"LHS-FEE-2026-6044","Irom Radharani","LHS-2026-002","Lower KG","+91 98621 11218","June 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-5680","PAID","2026-08-25T18:22:26.321Z"
"LHS-FEE-2026-4226","Irom Radharani","LHS-2026-002","Lower KG","+91 98621 11218","May 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-2613","PAID","2026-08-25T18:22:26.141Z"
"LHS-FEE-2026-6082","Irom Radharani","LHS-2026-002","Lower KG","+91 98621 11218","April 2026",1200,0,1200,"UPI_ONLINE","426223459258","PAID","2026-08-25T18:22:26.020Z"
"LHS-FEE-2026-8185","Naorem Thouba","LHS-2026-001","Lower KG","+91 98621 11217","May 2026",1200,0,1200,"UPI_ONLINE","424140195005","PAID","2026-08-25T18:22:25.288Z"
"LHS-FEE-2026-4870","Naorem Thouba","LHS-2026-001","Lower KG","+91 98621 11217","April 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-5867","PAID","2026-08-25T18:22:24.956Z"
"LHS-FEE-2026-8428","Wangkhem Thoi","LHS-2026-602","Class VI","+91 98621 11216","July 2026",1200,0,1200,"UPI_ONLINE","429265299146","PAID","2026-08-25T18:22:23.936Z"
"LHS-FEE-2026-2191","Wangkhem Thoi","LHS-2026-602","Class VI","+91 98621 11216","June 2026",1200,0,1200,"UPI_ONLINE","425240430357","PAID","2026-08-25T18:22:23.825Z"
"LHS-FEE-2026-3478","Wangkhem Thoi","LHS-2026-602","Class VI","+91 98621 11216","May 2026",1200,0,1200,"UPI_ONLINE","422458105375","PAID","2026-08-25T18:22:23.709Z"
"LHS-FEE-2026-8420","Wangkhem Thoi","LHS-2026-602","Class VI","+91 98621 11216","April 2026",1200,0,1200,"UPI_ONLINE","425965529792","PAID","2026-08-25T18:22:23.454Z"
"LHS-FEE-2026-8858","Hijam Malemnganba","LHS-2026-601","Class VI","+91 98621 11215","June 2026",1200,0,1200,"UPI_ONLINE","422050085280","PAID","2026-08-25T18:22:22.260Z"
"LHS-FEE-2026-6892","Hijam Malemnganba","LHS-2026-601","Class VI","+91 98621 11215","May 2026",1200,0,1200,"UPI_ONLINE","422643631216","PAID","2026-08-25T18:22:21.769Z"
"LHS-FEE-2026-5543","Hijam Malemnganba","LHS-2026-601","Class VI","+91 98621 11215","April 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-4693","PAID","2026-08-25T18:22:21.658Z"
"LHS-FEE-2026-7553","Pukhrambam Elizabeth","LHS-2026-502","Class V","+91 98621 11214","July 2026",1200,0,1200,"UPI_ONLINE","422539701220","PAID","2026-08-25T18:22:20.556Z"
"LHS-FEE-2026-1740","Pukhrambam Elizabeth","LHS-2026-502","Class V","+91 98621 11214","June 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-5706","PAID","2026-08-25T18:22:20.256Z"
"LHS-FEE-2026-7176","Pukhrambam Elizabeth","LHS-2026-502","Class V","+91 98621 11214","May 2026",1200,0,1200,"UPI_ONLINE","421660560147","PAID","2026-08-25T18:22:20.145Z"
"LHS-FEE-2026-1678","Pukhrambam Elizabeth","LHS-2026-502","Class V","+91 98621 11214","April 2026",1200,0,1200,"UPI_ONLINE","421445304175","PAID","2026-08-25T18:22:20.034Z"
"LHS-FEE-2026-8518","Soraisam Lanchenba","LHS-2026-501","Class V","+91 98621 11213","July 2026",1200,0,1200,"UPI_ONLINE","423242216018","PAID","2026-08-25T18:22:18.828Z"
"LHS-FEE-2026-3261","Soraisam Lanchenba","LHS-2026-501","Class V","+91 98621 11213","June 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-5862","PAID","2026-08-25T18:22:18.715Z"
"LHS-FEE-2026-3134","Soraisam Lanchenba","LHS-2026-501","Class V","+91 98621 11213","May 2026",1200,0,1200,"UPI_ONLINE","429305981611","PAID","2026-08-25T18:22:18.566Z"
"LHS-FEE-2026-4703","Soraisam Lanchenba","LHS-2026-501","Class V","+91 98621 11213","April 2026",1200,0,1200,"UPI_ONLINE","425923016668","PAID","2026-08-25T18:22:18.448Z"
"LHS-FEE-2026-4146","Heikrujam Bikram","LHS-2026-403","Class IV","+91 98621 11212","July 2026",1200,0,1200,"UPI_ONLINE","424385721134","PAID","2026-08-25T18:22:17.433Z"
"LHS-FEE-2026-9403","Heikrujam Bikram","LHS-2026-403","Class IV","+91 98621 11212","June 2026",1200,0,1200,"UPI_ONLINE","425958452577","PAID","2026-08-25T18:22:17.321Z"
"LHS-FEE-2026-8238","Heikrujam Bikram","LHS-2026-403","Class IV","+91 98621 11212","May 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-2692","PAID","2026-08-25T18:22:17.209Z"
"LHS-FEE-2026-3290","Heikrujam Bikram","LHS-2026-403","Class IV","+91 98621 11212","April 2026",1200,0,1200,"UPI_ONLINE","426734341469","PAID","2026-08-25T18:22:17.100Z"
"LHS-FEE-2026-6953","Mutum Roshini","LHS-2026-402","Class IV","+91 98621 11211","July 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-6764","PAID","2026-08-25T18:22:16.502Z"
"LHS-FEE-2026-6765","Mutum Roshini","LHS-2026-402","Class IV","+91 98621 11211","June 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-5334","PAID","2026-08-25T18:22:16.391Z"
"LHS-FEE-2026-6584","Mutum Roshini","LHS-2026-402","Class IV","+91 98621 11211","May 2026",1200,0,1200,"UPI_ONLINE","428028666752","PAID","2026-08-25T18:22:16.280Z"
"LHS-FEE-2026-2573","Mutum Roshini","LHS-2026-402","Class IV","+91 98621 11211","April 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-5879","PAID","2026-08-25T18:22:16.170Z"
"LHS-FEE-2026-1403","Konsam Devendra","LHS-2026-401","Class IV","+91 98621 11210","May 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-3247","PAID","2026-08-25T18:22:15.546Z"
"LHS-FEE-2026-4722","Konsam Devendra","LHS-2026-401","Class IV","+91 98621 11210","April 2026",1200,0,1200,"UPI_ONLINE","428204806383","PAID","2026-08-25T18:22:15.437Z"
"LHS-FEE-2026-3469","Salam Sanatombi","LHS-2026-302","Class III","+91 98621 11209","July 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-9035","PAID","2026-08-25T18:22:14.838Z"
"LHS-FEE-2026-4369","Salam Sanatombi","LHS-2026-302","Class III","+91 98621 11209","June 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-6246","PAID","2026-08-25T18:22:14.729Z"
"LHS-FEE-2026-3174","Salam Sanatombi","LHS-2026-302","Class III","+91 98621 11209","May 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-1185","PAID","2026-08-25T18:22:14.617Z"
"LHS-FEE-2026-1862","Salam Sanatombi","LHS-2026-302","Class III","+91 98621 11209","April 2026",1200,0,1200,"UPI_ONLINE","422735018095","PAID","2026-08-25T18:22:14.507Z"
"LHS-FEE-2026-5106","Laishram Prem","LHS-2026-301","Class III","+91 98621 11208","July 2026",1200,0,1200,"UPI_ONLINE","428433862616","PAID","2026-08-25T18:22:13.897Z"
"LHS-FEE-2026-3101","Laishram Prem","LHS-2026-301","Class III","+91 98621 11208","June 2026",1200,0,1200,"UPI_ONLINE","422954948645","PAID","2026-08-25T18:22:13.786Z"
"LHS-FEE-2026-9480","Laishram Prem","LHS-2026-301","Class III","+91 98621 11208","May 2026",1200,0,1200,"UPI_ONLINE","423224651195","PAID","2026-08-25T18:22:13.674Z"
"LHS-FEE-2026-9232","Laishram Prem","LHS-2026-301","Class III","+91 98621 11208","April 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-2797","PAID","2026-08-25T18:22:13.561Z"
"LHS-FEE-2026-1356","Chanu Nungshiba","LHS-2026-7220","Class III","+91 98621 11207","June 2026",1200,0,1200,"UPI_ONLINE","424622519426","PAID","2026-08-25T18:22:12.923Z"
"LHS-FEE-2026-4704","Chanu Nungshiba","LHS-2026-7220","Class III","+91 98621 11207","May 2026",1200,0,1200,"UPI_ONLINE","422245268659","PAID","2026-08-25T18:22:12.812Z"
"LHS-FEE-2026-4096","Chanu Nungshiba","LHS-2026-7220","Class III","+91 98621 11207","April 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-5112","PAID","2026-08-25T18:22:12.700Z"
"LHS-FEE-2026-6808","Leishangthem Yaiphaba","LHS-2026-103","Class I","+91 98621 11203","July 2026",1200,0,1200,"UPI_ONLINE","426075953441","PAID","2026-08-25T18:22:11.637Z"
"LHS-FEE-2026-4455","Khuman Tomba","LHS-2026-101","Class I","+91 98621 11201","July 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-3968","PAID","2026-08-25T18:22:11.034Z"
"LHS-FEE-2026-6253","Khuman Tomba","LHS-2026-101","Class I","+91 98621 11201","June 2026",1200,0,1200,"UPI_ONLINE","423287472409","PAID","2026-08-25T18:22:10.923Z"
"LHS-FEE-2026-1023","Yumkham Rohit","LHS-2026-203","Class II","+91 98621 11206","July 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-8600","PAID","2026-08-25T18:21:35.971Z"
"LHS-FEE-2026-7120","Yumkham Rohit","LHS-2026-203","Class II","+91 98621 11206","June 2026",1200,0,1200,"UPI_ONLINE","428884769053","PAID","2026-08-25T18:21:35.859Z"
"LHS-FEE-2026-3092","Yumkham Rohit","LHS-2026-203","Class II","+91 98621 11206","May 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-1925","PAID","2026-08-25T18:21:35.748Z"
"LHS-FEE-2026-4642","Yumkham Rohit","LHS-2026-203","Class II","+91 98621 11206","April 2026",1200,0,1200,"UPI_ONLINE","421464680456","PAID","2026-08-25T18:21:35.640Z"
"LHS-FEE-2026-8195","Sanabam Bembem","LHS-2026-202","Class II","+91 98621 11205","July 2026",1200,0,1200,"UPI_ONLINE","425104339569","PAID","2026-08-25T18:21:35.034Z"
"LHS-FEE-2026-4034","Sanabam Bembem","LHS-2026-202","Class II","+91 98621 11205","June 2026",1200,0,1200,"UPI_ONLINE","426939042517","PAID","2026-08-25T18:21:34.924Z"
"LHS-FEE-2026-9399","Sanabam Bembem","LHS-2026-202","Class II","+91 98621 11205","May 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-7776","PAID","2026-08-25T18:21:34.812Z"
"LHS-FEE-2026-8265","Sanabam Bembem","LHS-2026-202","Class II","+91 98621 11205","April 2026",1200,0,1200,"UPI_ONLINE","423141063150","PAID","2026-08-25T18:21:34.700Z"
"LHS-FEE-2026-4616","Thokchom Priyobrata","LHS-2026-201","Class II","+91 98621 11204","July 2026",1200,0,1200,"UPI_ONLINE","429346009559","PAID","2026-08-25T18:21:34.098Z"
"LHS-FEE-2026-9754","Thokchom Priyobrata","LHS-2026-201","Class II","+91 98621 11204","June 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-7942","PAID","2026-08-25T18:21:33.988Z"
"LHS-FEE-2026-8079","Thokchom Priyobrata","LHS-2026-201","Class II","+91 98621 11204","May 2026",1200,0,1200,"UPI_ONLINE","424169119055","PAID","2026-08-25T18:21:33.880Z"
"LHS-FEE-2026-1519","Thokchom Priyobrata","LHS-2026-201","Class II","+91 98621 11204","April 2026",1200,0,1200,"UPI_ONLINE","426463524414","PAID","2026-08-25T18:21:33.769Z"
"LHS-FEE-2026-7979","Leishangthem Yaiphaba","LHS-2026-103","Class I","+91 98621 11203","June 2026",1200,0,1200,"UPI_ONLINE","427312174807","PAID","2026-08-25T18:21:33.167Z"
"LHS-FEE-2026-2843","Leishangthem Yaiphaba","LHS-2026-103","Class I","+91 98621 11203","May 2026",1200,0,1200,"UPI_ONLINE","425623526356","PAID","2026-08-25T18:21:33.057Z"
"LHS-FEE-2026-8157","Leishangthem Yaiphaba","LHS-2026-103","Class I","+91 98621 11203","April 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-8791","PAID","2026-08-25T18:21:32.944Z"
"LHS-FEE-2026-6873","Ningthouja Linthoingambi","LHS-2026-102","Class I","+91 98621 11202","May 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-2479","PAID","2026-08-25T18:21:32.343Z"
"LHS-FEE-2026-5338","Ningthouja Linthoingambi","LHS-2026-102","Class I","+91 98621 11202","April 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-9255","PAID","2026-08-25T18:21:32.234Z"
"LHS-FEE-2026-1633","Khuman Tomba","LHS-2026-101","Class I","+91 98621 11201","May 2026",1200,0,1200,"UPI_ONLINE","428807163143","PAID","2026-08-25T18:21:31.620Z"
"LHS-FEE-2026-3143","Khuman Tomba","LHS-2026-101","Class I","+91 98621 11201","April 2026",1200,0,1200,"UPI_ONLINE","424670409495","PAID","2026-08-25T18:21:31.507Z"
